poem_number,poet,original_japanese,original_romaji,dickens_text_1866,noguchi_text_1907,porter_text_1909,maccauley_text_1917
67,Suwo no Naishi,"春の夜の
夢ばかりなる
手枕に
かひなく立たむ
名こそ惜しけれ","Haru no yo no
Yume bakari naru
Tamakura ni
Kainaku tatan
Na koso oshi kere","Had I made thy proffer'd arm
A pillow for my wearied head,
No longer e'en than lasts the charm
Of a spring-night's dream--what had rumour said?
How would my fame
Have suffer'd from men's sland'ring blame!","For a short while,—short
Like a Spring night dream, in taking
Thy arm for my pillow, what a shame
To have a bad rumor rise!","If I had made thy proffered arm
A pillow for my head
For but the moment's time, in which
A summer's dream had fled,
What would the world have said?","If, but through the dreams
Of a spring's short night, I'd rest
Pillowed on this arm,
And my name were blameless stained,
Hard, indeed, would be my fate."
68,Sanjo no In,"心にも
あらで浮世に
ながらへば
恋しかるべき
夜半の月かな","Kokoro ni mo
Arade ukiyo ni
Nagaraeba
Koishikaru beki
Yowa no tsuki kana","Fain would I in this world so hard
No longer live, but still must stay:--
How wistfully my eyes regards
The midnight moonbeams' tranquil sway!","In spite of myself, I am
Lingering in this world:
Ah, what longing
For the midnight moon!","If in this troubled world of ours
I still must linger on,
My only friend shall be the moon,
Which on my sadness shone,
When other friends were gone.","If, against my wish,
In the world of sorrows still,
I for long should live;--
How then I would pine, alas!
For this moon of middle-night."
69,Noin Hoshi,"あらし吹く
三室の山の
もみぢ葉は
龍田の川の
にしきなりけり","Arashi fuku
Mimuro no yama no
Momijiba wa
Tatsuta no kawa no
Nishiki nari keri","Round Mimuro-yama lustily
The storm-winds roar and whirl,
And th' scatter'd leaves of th' momiji
In the reddening Tatsta hurl.","The Mimuro Mountain maple leaves
In blowing storm,
Weave the blockade
For the Tatsuda stream.","The storms, which round Mount Mimuro
Are wont to howl and scream,
Have thickly scattered maple leaves
Upon Tatsuta's stream;
Like red brocade they seem.","By the wind-storm's blast,
From Mimuro's mountain slopes
Maples leaves are torn,
And as (rich) brocades, are wrought
On (blue) Tatta's (quiet) stream."
70,Ryosen Hoshi,"寂しさに
宿を立出て
ながむれば
いづこもおなじ
秋の夕暮","Sabishisa ni
Yado o tachi idete
Nagamureba
Izuko mo onaji
Aki no yugure","In lonely solitude my home,
And from my cabin when I stray,
Where'er my wan'ring eyes may roam,
The landscape that doth round me lay,
How desolate, how drear
Doth it at autumn-e'en appear.","From loneliness I wander
Out of my own home:
Lo, ’tis the same everywhere
This Autumn eve!","The prospect from my cottage shows
No other hut in sight;
The solitude depresses me,
Like deepening twilight
On a chill autumn night.","In my loneliness
From my humble home gone forth,
When I looked around,
Everywhere it was the same;--
One lone, darkening autumn eve."
71,Dainagon Tsunenobu,"夕されば
門田の稲葉
おとづれて
あしのまろやに
秋風ぞふく","Yu sareba
Kadota no inaba
Otozurete
Ashi no maroya ni
Akikaze zo fuku","Now twilight darkens, and the breeze
Rustles the homeside rice-fields 'mong,
And murmuring sounds my ear please,
As past my hut with thatch o'erhung
Of Ashi grass,
The sweeping gusts of autumn pass.","At eve,
By the ashi grass hut,
The Autumn gusts pass, calling on
The gate-side rice plant leaves.","This autumn night the wind blows shrill,
And would that I could catch
Its message, as it whistles through
The rushes in the thatch
And leaves of my rice-patch.","When the evening comes,
From the rice leaves at my gate
Gentle knocks are heard;
And, into my round rush-hut,
Autumn's roaming breeze makes way."
72,Yushi Naishinnoke Kii,"音にきく
高師の浜の
あだ浪は
かけじや袖の
ぬれもこそすれ","Oto ni kiku
Takashi no hama no
Adanami wa
Kakeji ya sode no
Nure mo koso sure","Thy beauty is throughout the land
As well-known as the furious play
Of billow on Takashi's strand,
That drench the venturesome with spray,
Who come their sweep too nigh:
So she who hath thee once beheld,
To tears of jealous love compelled,
Her sleeve shall ne'er be dry.","’Tis known to the world,
Ah me, the fickle waves
Of the Takashi strand do drench
One’s sleeves with spray.","The sound of ripples on the shore
Ne’er fails at Takashi;
My sleeves all worn and wet with tears
Should surely prove to thee,
I, too, will constant be.","Well I know the fame
Of the fickle waves that beat
On Takashi's strand!
Should I e'er go near that shore
I should only wet my sleeves."
73,Saki no Chunagon Masafusa,"高砂の
尾の上の桜
咲きにけり
外山の霞
たたずもあらなん","Takasago no
Onoe no sakura
Saki ni keri
Toyama no kasumi
Tatazu mo aranan","The Sakura trees in plenty grow
On Takasago's steep hill-side,
And now their crowded blossoms show;
O may no fogs their beauty hide,
No mists from hill-top rise
To veil their radiance from our eyes.","On Takasago Mountain
The cherry trees are blossoming:
The mists from the other hills
Shall not rise, I pray.","The cherry trees are blossoming
On Takasago's height;
Oh may no mountain mist arise,
No clouds so soft and white,
To hide them from our sight.","On that distant mount,
O'er the slope below the peak,
Cherries are in flower;--
May the mists of hither hills
Not arise to veil the scene."
74,Minamoto no Toshiyori Ason,"うかりける
人をはつせの
山おろしよ
はげしかれとは
祈らぬものを","Ukari keru
Hito o Hatsuse no
Yama oroshiyo
Hageshikare to wa
Inoranu mono o","As windy blasts down Hasse's steep
In furious path impetuous sweep,
So rudely thou my suit dost slight,
And scorn thy lover's hapless plight;
No more 'fore Hasse's shrine
Will I in suing prayer incline.","Oh, did I pray
The Hatsuse mountain blast,
Nay, his heartlessness, to be furious?
Nay, I did not!","Oh! Kwannon, Patron of this hill,
The maid, for whom I pine,
Is obstinate and wayward, like
The gusts around thy shrine.
What of those prayers of mine?","I did not make prayer
(At the shrine of Mercy's God),
That the unkind one
Should become as pitiless
As the storms of Hase's hills."
75,Fujiwara no Mototoshi,"契りをきし
させもが露を
命にて
あはれことしの
秋もいぬめり","Chigiri okishi
Sasemo ga tsuyu o
Inochi ni te
Aware kotoshi no
Aki mo inumeri","A covenant thou mad'st with me,
And as the Sasemo from th' dew,
So I my very life from thee
Drink in. Alas! I fear me
This autumn's days are now but few!","The sasaemo's life is a dew
Ah me! Where’s thy promise?
Autumn of this year
Is passing away.","It is a promise unfulfilled,
For which I humbly sue
The dainty little mugwort plant
Relies upon the dew,
And I rely—on you.","Though your promise was
""Like the dew on moxa plant""
And, to me, was life;
Yet, alas! the year has passed
Even into autumn time."
76,Hoshoji Nyudo Sakino-kanpaku Dajodaijin.,"わたの原
こぎ出でて見れば
久方の
雲井にまよふ
おきつしらなみ","Wata no hara
Kogi idete mireba
Hisakata no
Kumoi ni mayoo
Okitsu shiranami","In fisher's barque I onward glide
O'er th' broad expanse of ocean's tide,
And towards th' horizons when I turn
My glance I scarcely can discern
Where the white-tipped billows end,
That with the cloud-horizon blend.","Over the expanse of sea I row.
Behold the far-away sky,
Nay, the billows white
In the distance!","When rowing on the open sea,
The waves, all capped with white,
Roll onward, like the fleecy clouds
With their resistless might;
Truly a wondrous sight!","O'er the wide sea plain,
As I row and look around,
It appears to me
That the white waves, far away,
Are the ever shining sky."
