poem_number,poet,original_japanese,original_romaji,dickens_text_1866,noguchi_text_1907,porter_text_1909,maccauley_text_1917
1,Tenchi Tenno,"秋の田の
かりほの庵の
苫をあらみ
わが衣手は
露にぬれつつ","Aki no ta no
Kario no io no
Toma no arami
Waga koromo de wa
Tsuyu ni furitsutsu","My lowly hut is thatched with straw
From fields where rice-sheaves frequent stand,
Now autumn's harvest well-nigh o'er,
Collected by my toiling hand:
Through tatter'd roof the sky I view,
My clothes are wet with falling dew","My clothes wet with the midnight dews—
Through the roof mat,
In this temporal hut,
For our harvest.","Out in the fields this autumn day
They're busy reaping grain ;
I sought for shelter ’neath this roof,
But fear I sought in vain,—
My sleeve is wet with rain.","Coarse the rush-mat roof
Sheltering the harvest-hut
Of the autumn rice-field;--
And my sleeves are growing wet
With the moisture dripping through."
2,Jito Tenno,"春過ぎて
夏来にけらし
白妙の
衣ほすてふ
天の香具山","Haru sugite
Natsu ki ni kerashi
Shirotae no
Koromo hosu cho
Ama no Kaguyama","The pleasant spring hath passed away,
Now summer follows close, I ween,
And Ama's secret summit may
In all its grandeur now be seen;
Of yore the drying ground,
Whitened with angels' robes, spread far around.","Has Spring passed away?
Did Summer already come?
Lo, Kagu Yama!  There
The white gowns are seen being dried.","The spring has gone, the summer's come,
And I can just descry
The peak of Ama-no-kagu,
Where angels of the sky
Spread their white robes to dry.","Spring, it seems, has passed,
And the summer come again;
For the silk-white robes,
So 'tis said, are spread to dry
On the ""Mount of Heaven's Perfume."""
3,Kakinomoto no Hitomaro,"あしびきの
山鳥の尾の
しだり尾の
ながながし夜を
ひとりかもねむ","Ashibiki no
Yamadori no o no
Shidari o no
Naganagashi yo o
Hitori ka mo nen","The hill-side fowl his long-drooped tail
Sweeps o'er the ground--so drags the night.
My lonely plight
I mourn--my sleepless wretchedness bewail.","What a long night!
How could I sleep alone!
How the night drags!—(Dragging
As a mountain fowl's long-dropped tail!)","Long is the mountain pheasant's tail
That curves down in its flight;
But longer still, it seems to me,
Left in my lonely plight,
Is this unending night.","Ah! the foot-drawn trail
Of the mountain-pheasant's tail
Drooped like down-curved branch!--
Through this long, long-dragging night
Must I keep my couch alone?"
4,Yamabe no Akahito,"田子の浦に
打ち出でてみれば
白妙の
富士の高嶺に
雪はふりつつ","Tago no Ura ni
Uchi idete mireba
Shirotae no
Fuji no takane ni
Yuki wa furi tsutsu","From where my home,--
My lonely home, --onTago's shore
Doth stand, the wandering eye may roam
O'er Fusiyama's summit hoar,
Whose lofty brow
Is whitened by th' new-fallen snow.","From Tago Ura,
I behold Fuji's white summit,—
Over the high summit,
The snow falling and falling on.","I started off along the shore,
The sea shore at Tago,
And saw the white and glist’ning peak
Of Fuji all aglow
Through falling flakes of snow.","When to Tago's coast
I the way have gone, and see
Perfect whiteness laid
On Mount Fuji's lofty peak
By the drift of falling snow."
5,Sarumaru Dayu,"奥山に
紅葉ふみわけ
鳴く鹿の
声きく時ぞ
秋は悲しき","Okuyama ni
Momiji fumiwake
Naku shika no
Koe kiku toki zo
Aki wa kanashiki","Now 'mid the hills the Momiji
Is trampled down 'neath hoof of deer,
Whose plaintive cries continually
Are heard both far and near;
My shivering frame
Now autumn's piercing chills doth blame.","How sad is Autumn,
When you hear the deer's cry.
With his hoofs upon the maple leaves,
Amid the deeper hill!","Hear the stag's pathetic call
Far up the mountain side,
While tramping o'er the maple leaves
Wind-scattered far and wide
This sad, sad autumn tide.","In the mountain depths,
Treading through the crimson leaves,
Cries the wandering stag.
When I hear the lonely cry,
Sad,--how sad--the autumn is!"
6,Chunagon Yakamochi,"かささぎの
渡せる橋に
置く霜の
白きを見れば
夜ぞふけにける","Kasasagi no
Wataseru hashi ni
Oku shimo no
Shiroki o mireba
Yo zo fuke ni keru","Upon the bridge where ravens, aye,
Do love to pass where hoar-frost's sheen,
When hoar-frost's glittering film is seen;
I trow the break of day is nigh.","Must be done the night:
Over the Kasasagi bridge in the sky,
The frost white, I see,
Is set already.","When on the Magpies' Bridge I see
The Hoar-frost King has cast
His sparkling mantle, well I know
The night is nearly past,
Daylight approaches fast.","If the ""Magpie Bridge""--
Bridge by flight of magpies spanned,--
White with frost I see:--
With a deep-laid frost made white:--
Late, I know, has grown the night."
7,Abe no Nakamaro,"天の原
ふりさけ見れば
春日なる
三笠の山に
出でし月かも","Ama no hara
Furisake mireba
Kasuga naru
Mikasa no yama ni
Ideshi tsuki kamo","On every side the vaulted sky
I view: now will the moon have peered
I trow, above Mikasa high
In Kasuga's far-off land upreared.","Behold the heavenly vastness,
The sky of the moon!
Is it not the same moon I once saw,
Out of Kasuga's Mikasa hill?","While gazing up into the sky,
My thoughts have wandered far;
Methinks I see the rising moon
Above Mount Mikasa
At far-off Kasuga.","When I look abroad
O'er the wide-stretched ""Plain of Heaven,""
Is the moon the same
That on Mount Mikasa rose,
In the land of Kasuga?"
8,Kisen Hoshi,"わが庵は
都のたつみ
しかぞすむ
世をうぢ山と
人はいふなり","Waga io wa
Miyako no tatsumi
Shika zo sumu
Yo o Ujiyama to
Hito wa iu nari","My cabin doth in Tats'mi lie
Miako's city near
Yo-uji men my mountain call,
Yet still do I dwell here.","My hut is southward of the city,
here like this I live alone:
Why, people call here Ujiyama.
(The ""World-sad Hill"")!","My home is near the Capital,
My humble cottage bare
Lies south-east on
Mount Uji; so
The people all declare
My life's a 'Hill of Care'.","Lowly hut is mine
South-east from the capital:--
Thus I choose to dwell;--
And the world in which I live
Men have named a ""Mount of Gloom."""
9,Ono no Komachi,"花の色は
うつりにけりな
いたづらに
わが身世にふる
ながめせしまに","Hana no iro wa
Utsuri ni keri na
Itazura ni
Waga mi yo ni furu
Nagame seshi ma ni","Thy love hath passed away from me
Left, desolate, forlorn--
In winter-rains how wearily
The summer past I mourn!","The flowers and my love,
Passed away under the rain,
While I idly looked upon them:
Where is my yester-love?","The blossom's tint is washed away
By heavy showers of rain;
My charms, which once I prized so much,
Are also on the wane,
Both bloomed, alas! in vain.","Color of the flower
Has already passed away
While on trivial things
Vainly I have set my gaze,
In my journey through the world."
10,Semimaru,"これやこの
行くも帰るも
別れては
知るも知らぬも
逢坂の関","Kore ya kono
Yuku mo kaeru mo
Wakarete wa
Shiru mo shiranu mo
Osaka no seki","Some hence towards the city haste,
Some from the city here speed by,
Here friends and strangers meet and part,
With kindly glance and careless eye;
Apt is the name it seems to me,
Ausaka gate, men give to thee.","here some depart, here some return,
Once they part, and they meet here again,—
The people who know and who know not:
'Tis Ausaka Gate (the ""Meeting Height Gate"").","The stranger who has travelled far,
The friend with welcome smile,
All sorts of men who come and go
Meet at this mountain stile,—
They meet and rest awhile.","Truly, this is where
Travelers who go or come
Over parting ways,--
Friends or strangers,--all must meet;
'Tis the gate of ""Meeting Hill."""
11,Sangi Takamura,"わたの原
八十島かけて
こぎ出ぬと
人には告げよ
あまのつり舟","Wata no hara
Yasoshima kakete
Kogi idenu to
Hito ni wa tsugeyo
Ama no tsuri bune","Ye fishermen, who range the sea
In many a barque, I pray ye tell
My fellow-villagers of me--
How that far o'er vast ocean's swell
In vessel frail
Towards Yasoshima I sail.","O thou, fisher's boat,
Tell men that I sailed.
Away into the eighty isles,
Into the bluest field,—the sea!","Oh! Fishers in your little boats,
Quick! tell my men, I pray,
They'll find me at Yasoshima,
I'm being rowed away
Far off across the bay.","O'er the wide, wide sea,
Towards its many distant isles,
Rowing I set forth.
This, to all the world proclaim,
O ye boats of fisher-folk!"
12,Sosho Henjo.,"天つ風
雲のかよひ路
吹きとぢよ
乙女のすがた
しばしとどめむ","Ama tsu kaze
Kumo no kayoiji
Fuki toji yo
Otome no sugata
Shibashi todomen","In fitful path across the sky,
By various winds of heaven forced,
Cloud-borne Otome glideth by--
Now hath the breeze its vigour lost
An instant, and her form so bright
For a fleeting moment greets my sight.","O heavenly wind,
Blow and stop the road of clouds!
Let the beauties, nay, the angels,
For a while be with us!","Oh stormy winds, bring up the clouds,
And paint the heavens grey;
Lest these fair maids of form divine
Should angel wings display,
And fly far far away.","O ye Winds of Heaven!
In the paths among the clouds
Blow, and close the ways,
That we may these virgin forms
Yet a little while detain."
13,Yoseiin,"筑波嶺の
峰より落つる
みなの川
恋ぞつもりて
淵となりぬる","Tsukuba ne no
Mine yori otsuru
Minano-gawa
Koi zo tsumorite
Fuchi to nari nuru","The minagawa's waters fall
From Ts'kubaneyama's lofty peak:
In loving haste the waters all
For aye accumulate, and seek
The end of all their constant flow,
The sea that doth no limits know.","From the Tsukuba summit,
Mina no Kawa drops down,
And the waters gathered make the depth!
Oh so is love.","The Mina stream comes tumbling down
From Mount Tsukuba's height;
Strong as my love, it leaps into
A pool as black as night
With overwhelming might.","From Tsukuba's peak,
Falling waters have become
Mina's still, full flow:
So my love has grown to be;
Like the river's quiet deeps."
14,Kawara no Sadaijin,"みちのくの
しのぶもぢずり
誰故に
乱れそめにし
我ならなくに","Michinoku no
Shinobu moji-zuri
Tare yue ni
Midare some ni shi
Ware naranaku ni","Ah me! my soul with cares is vext,
Unnumbered, crowded, and perplext,
Than varied pattern more confus'd
On Mojidsuri fabric used,
The produce of Shinobu's loom,
Shinobu in Michinoku land;
For whose sake whose buth thine doth gloom
Hold o'er my failing heart command.","Why does thy heart so stir,
Mojizuri of Michinoku's Shinobu loom?
Whom my heart does stir to?
Alas, nobody but my love!","Ah! why does love distract my thoughts,
Disordering my will!
I'm like the pattern on the cloth
Of Michinoku hill,—
All in confusion still.","Michinoku print
Of shinobu's tangled leaves!
For whose sake have I,
Like confused, begun to be?
Only yours! I can not change!"
15,Kwoko tenno,"君がため
春の野に出でて
若菜つむ
わが衣手に
雪はふりつつ","Kimi ga tame
Haru no no ni idete
Wakana tsumu
Waga koromode ni
Yuki wa furi tsutsu","Thy wishes, love, have I obeyed,
And 'mid the meadows have I strayed
In this spring-time, and sought with care
The wakana plant that groweth there.
Lo on my sleeve
The falling snow its trace doth leave.","For thy sake,
I come out in the Spring field,
And the wakana I gather,—
Lo, the snow-flakes falling on my gown.","Mother, for thy sake I have been
Where the wakana grow,
To bring thee back some fresh green leaves
And see—my koromo
Is sprinkled with the snow!","It is for thy sake
That I seek the fields in spring,
Gathering green herbs,
While my garment's hanging sleeves
Are with falling snow beflecked."
16,Chunagon Yukihira,"立ち別れ
いなばの山の
峰に生ふる
まつとしきかば
今かへりこむ","Tachi wakare
Inaba no yama no
Mine ni oru
Matsu to shi kikaba
Ima kaeri kon","Inaba's lofty range is crowned
By many a tall pine-tree;
Ah quickly were I homewards bound
If thou shouldst pine for me.","Now we part.  The pine-tree grows.
There on the Inaba mountain top.
If thou shouldst say ""pine""
I to you will soon return.","If breezes on Inaba's peak
Sigh through the old pine tree,
To whisper in my lonely ears
That thou dost pine for me,—
Swiftly I'll fly to thee.","Though we parted be;
If on Mount Inaba's peak
I should hear the sound
Of the pine trees growing there,
Back at once I'll make my way."
17,Ariwara no Narihira,"千早ぶる
神代もきかず
龍田川
からくれないに
水くくるとは","Chihayaburu
Kamiyo mo kikazu
Tatsuta-gawa
Kara kurenai ni
Mizu kukuru to wa","O Tatsta! when th' autumnal flow
I watch of thy deep, ruddy wave--
E'en when the stern gods long ago
Did rule, was ne'er beheld so brave,
So fair a stream as thine, I vow.","I did not hear even in the gods' age,—
Behold Tatsuda Gawa!—
The waters were reddened so
By the autumn leaves.","All red with leaves Tatsuta's stream
So softly purls along,
The everlasting Gods themselves,
Who judge 'twixt right and wrong,
Ne'er heard so sweet a song.","I have never heard
That, e'en when the gods held sway
In the ancient days,
E'er was water bound with red
Such as here in Tatta's stream"
18,Fujiwara no Toshiyuki,"住の江の
岸による波
よるさへや
夢の通ひ路
人目よくらむ","Sumi no e no
Kishi ni yoru nami
Yoru sae ya
Yume no kayoi ji
Hito me yoku ran","Tho' softly as the waves do break
On Suminoye's shore, I seek
To meet thee, love e'en in a dream,
To dread men's curious eyes I seem.","I think of thee,
I go along the road of dream to meet thee,
How I fear people's curious eyes!
(Oh my love riding on the waves of dream!)","To-night on Sumi-no-ye beach
The waves alone draw near;
And, as we wander by the cliffs,
No prying eyes shall peer,
No one shall dream we're here.","Lo! the gathered waves
On the shore of Sumi's bay!
E'en in gathered night,
When in dreams I go to thee,
I must shun the eyes of men."
19,Ise,"難波潟
みじかき芦の
ふしのまも
あはでこの世を
過ぐしてよとや","Naniwa gata
Mijikaki ashi no
Fushi no ma mo
Awade kono yo o
Sugushite yo to ya","Scant are the joints of Ashi reed
That grow Nanihagata nigh,
While time o'er e'en as brief space speed
Failst thou to greet my longing eye.
I fain would die!","Must I pass the days and world,
Not seeing thee,
Even for a short time,—short
like the ashi joints of the Naniwa shore?","Short as the joints of bamboo reeds
That grow beside the sea
On pebble beach at Naniwa,
I hope the time may be,
When thou ’rt away from me.","Even for a space
Short as joint of tiny reed
From Naniwa's marsh,
We must never meet again
In this life? This, do you ask?"
20,Motoyoshi Shinno,"わびぬれば
今はた同じ
難波なる
身をつくしても
逢はむとぞ思ふ","Wabi nureba
Ima hata onaji
Naniwa naru
Mi o tsukushite mo
Awan to zo omou","Distracted by my misery,
How utterly forlorn am I;
Oh that I might thee once more see
Tho' it should cost my life to me!","Now it will be same whatever it be.
Oh what a misery!
I might think to see thee once more
Even for my own life.","We met but for a moment, and
I'm wretched as before;
The tide shall measure out my life,
Unless I see once more
The maid, whom I adore.","Now, in dire distress,
It is all the same to me!
So, then, let us meet
Even though it costs my life
In the Bay of Naniwa."
21,Sosei Hoshi,"今来むと
いひしばかりに
長月の
有明の月を
待ち出でつるかな","Ima kon to
Iishi bakari ni
Nagatsuki no
Ariake no tsuki o
Machi idetsuru kana","Oh, maiden! heedless of thy vow,
Why com'st thou not? 'Tis ""long-moon"" night,
And th' Ariake moon shines now,
Forgetfulless with welcome light.","Now I have to wait
Only for the Naga Tsuki morning moon to appear,
But thy word of promise
To come and see me soon!","The moon that shone the whole night through
This autumn morn I see,
As here I wait thy well-known step,
For thou didst promise me—
'I'll surely come to thee.'","Just because she said,
""In a moment I will come,""
I've awaited her
E'en until the moon of dawn,
In the long month, hath appeared."
22,Bunya no Yasuhide,"吹くからに
秋の草木の
しをるれば
むべ山風を
あらしといふらむ","Fuku kara ni
Aki no kusaki no
Shiorureba
Mube yama kaze o
Arashi to iuran","Now autumn's gales, in various freak,
On herb, on tree, destruction wreak,
And wildest roar
The gusts that down from Mube pour.","Under the wind-blow,
The Autumn grasses and trees wither away.
Is it not right to call
A yama kaze “storm”?","The mountain wind in autumn time
Is well called 'hurricane';
It hurries canes and twigs along,
And whirls them o'er the plain
To scatter them again.","Since 'tis by its breath
Autumn's leaves of grass and trees
Riven are and waste,--
Men may to the mountain wind
Fitly given the name, ""The Wild."""
23,Oye no Chizato,"月見れば
千々に物こそ
悲しけれ
わが身ひとつの
秋にはあらねど","Tsuki mireba
Chiji ni mono koso
Kanashi kere
Waga mi hitotsu no
Aki ni wa aranedo","How oft' my glance upon the moon hath dwelt,
Her secret power my soul subdued--
Her sadd'ning influence I alone have felt,
Though all men autumn's moon have viewed.","To gaze upon the moon
Is to be sad in a thousand ways,
Though all the Autumn
Is not meant to be my own self’s.","This night the cheerless autumn moon
Doth all my mind enthrall;
But others also have their griefs,
For autumn on us all
Hath cast her gloomy pall","Gaze I at the moon,
Myriad things arise in thought,
And my thoughts are sad;--
Yet, 'tis not for me alone,
That the autumn time has come."
24,Kanke,"このたびは
幣もとりあへず
手向山
紅葉のにしき
神のまにまに","Kono tabi wa
Nusa mo toriaezu
Tamukeyama
Momiji no nishiki
Kami no mani mani","This time, I ween, no need there be,
A nusa I should take with me:
The nishki of the maple-tree
Tamuke-yama thou dost show.
'Twill serve the gods full well, I trow.","A nusa I could not bring with me this time,
Oh god, but the brocade of maple leaves
Of the Tamuke mountain
Will serve for thy will.","I bring no prayers on coloured silk
To deck thy shrine to-day,
But take instead these maple leaves,
That grow at Tamuké;
Finer than silk are they.","At the present time,
Since no offering I could bring,
See, Mount Tamuke!
Here are brocades of red leaves,
At the pleasure of the god."
25,Sanjo no Udaijin,"名にしおはば
逢坂山の
さねかづら
人にしられで
くるよしもがな","Na ni shi owaba
Osakayama no
Sanekazura
Hito ni shirarede
Kuru yoshi mo gana","If thou'rt as fair as rumour thee
Doth paint, O deign my hut to grace
And may thy path as secret be
To human eye as is the trace
Of Sanekads'ra 'mid
Osaka-yama's forests hid!","Is there no way to come as secret
As the trace of a sanekatsura vine
Of the Osaka mountain?
(Oh, reel of the vine!)","Hear thou art as modest as
The little creeping spray
Upon Mount Ōsaka, which hides
Beneath the grass; then, pray,
Wander with me to-day.","If thy name be true,
Trailing vine of ""Meeting Hill,""
Is there not some way
Whereby, without ken of men,
I can draw thee to my side?"
26,Teishinko,"小倉山
峰のもみじ葉
心あらば
今ひとたびの
みゆきまたなむ","Ogurayama
Mine no momijiba
Kokoro araba
Ima hitotabi no
Miyuki matanan","The redd'ning leaves of th' momiji
That on Ogura's summit grow,
How pleasant 'tis their tints to see!
Ah! did they but their beauty know,
They would linger till there pass'd again
Our Emperor's miyuki train.","The maple leaves on the Ogura mountain top,
If they knew, would wait
For the Emperor’s miyuki train
To pass once more.","The maples of Mount Ogura,
If they could understand,
Would keep their brilliant leaves, until
The Ruler of this land
Pass with his royal band.","If the maple leaves
On the ridge of Ogura
Have the gift of mind,
They will longingly await
One more august pilgrimage."
27,Chunagon Kanesuke,"みかの原
わきてながるる
泉川
いつ見きとてか
恋しかるらむ","Mika no Hara
Wakite nagaruru
Izumi-gawa
Itsu mi kitote ka
Koishi karuran","Lo Idsmi's boiling waters flow
With tumult vast, through Mika's plain;
My mind doth like confusion know,
A wretched prey to lover's pain.","Like the Izumi stream
Boiling down through the Mika plain,
Oh, my heart!
When did I see her to love so!","Oh! rippling River Izumi,
That flows through Mika plain,
Why should the maid I saw but now
And soon shall see again
Torment my love-sick brain?","Over Mika's plain,
Gushing forth and flowing free,
Is Izumi's stream.
I know not if we have met:
Why, then, do I long for her?"
28,Minamoto mo Muneyuki Ason,"山里は
冬ぞさびしさ
まさりける
人めも草も
かれぬとおもへ","Yama-zato wa
Fuyu zo sabishisa
Masari keru
Hitome mo kusa mo
Karenu to omoeba","The hamlet bosom'd 'mid the hills
Aye lonely is; in winter-time
Its solitude with mis'ry fills
My mind, for now the rig'rous clime
Hath banished every herb and tree
And every human face from me.","The mountain village in Winter
Will be lonelier. Oh, to think
That every human face and grass
Are to die away from me!","The mountain village solitude
In winter time I dread;
It seems as if, when friends are gone,
And trees their leaves have shed,
All men and plants are dead.","Winter loneliness
In a mountain hamlet grows
Only deeper, when
Guests are gone, and leaves and grass
Withered are;--so runs my thought."
29,Ochikochi no Mitsune,"心あてに
折らばや折らむ
初霜の
おきまどはせる
白菊の花","Kokoroate ni
Orabaya oran
Hatsushimo no
Oki madowaseru
Shiragiku no hana","I had to pluck thee, flower,--thought--
To pluck thee, flower, in vain I sought:
The earliest hoar-frost feigning thee,
Fair Shiragiku, cheated me.","How shall I pluck
The white chrysanthemum?
’Tis hard To choose one from those
With the earliest frost thickly set.","It was a white chrysanthemum
I came to take away;
But, which are coloured, which are white,
I'm half afraid to say,
So thick the frost to-day!","If it were my wish
White chrysanthemum to cull;--
Puzzled by the frost
Of the early autumn time,
I by chance might pluck the flower."
30,Mibu no Tadamine,"有明の
つれなくみえし
別れより
暁ばかり
うきものはなし","Ariake no
Tsurenaku mieshi
Wakare yori
Akatsuki bakari
Uki mono wa nashi","The Ariake-moonbeams wills
In th' morning heaven linger still;
While I from thee--how hard the smart--
By Akadski compelled, must part.","There’s nothing more hard
Than an early morning parting.
Oh, how heartless
The morning moon does appear!","I hate the cold unfriendly moon,
That shines at early morn;
And nothing seems so sad and grey,
When I am left forlorn,
As day's returning dawn.","Like the morning moon,
Cold, unpitying was my love.
Since that parting hour,
Nothing I dislike so much
As the breaking light of day."
31,Sakanouye no Korenori,"朝ぼらけ
有明の月と
みるまでに
吉野の里に
ふれる白雪","Asaborake
Ariake no tsuki to
Miru made ni
Yoshino no sato ni
Fureru shirayuki","Now clearly broke the dawning day,
Ariake moon I thought to see--
The newly-fallen snow that lay
Bound Yoshino deceived me.
The whiten'd hill-side seemed
As tho thereon the moonlight streamed.","I thought it might be
The shadow of the morning moon,
But the white snows fall
On the yoshino village.","Surely the morning moon, I thought,
Has bathed the hill in light
But, no; I see it is the snow
That, falling in the night,
Has made Yoshino white.","At the break of day,
Just as though the morning moon
Lightened the dim scene,
Yoshino's fair hamlet lay
In a haze of falling snow."
32,Harumichi no Tsuraki,"山川に
風のかけたる
しがらみは
流れもあへぬ
紅葉なりけり","Yama kawa ni
Kaze no kaketaru
Shigarami wa
Nagare mo aenu
Momiji nari keri","The winds of autumn have amassed
Dried withered leaves in ruddy heaps,
Have them in th' mountain-torret cast,
Whose stream in stony channel sweeps;
Amid the rocks that bar the way
The Mom-ji's reddened leaves delay.","The hurdle that the wind built
Over the mountain river
Is nothing but the maple leaves
Not run down.","The stormy winds of yesterday
The maple branches shook;
And see! a mass of crimson leaves
Has lodged within that nook,
And choked the mountain brook.","In a mountain stream,
Builded by the busy wind,
Is a wattled-barrier drawn.
Yet 'tis only maple leaves
Powerless to flow away."
33,Ki no Tomonori,"久方の
光のどけき
春の日に
しづ心なく
花のちるらむ","Hisakata no
Hikari nodokeki
Haru no hi ni
Shizu-gokoro naku
Hana no chiruran","'Tis a pleasant day of merry spring,
No bitter frosts are threatening
No storm-winds blow, no rain-clouds low'r,
The sun shines bright on high,
Yet thou, poor trembling little flow'r,
Dost wither away and die.","’Tis the Spring day
With lovely far-away light.
Why the flowers must fall
With hearts unquiet?","The spring has come, and once again
The sun shines in the sky;
So gently smile the heavens, that
It almost makes me cry,
When blossoms droop and die.","In the cheerful light
Of the ever-shining Sun,
In the days of spring;
Why, with ceaseless, restless haste
Falls the cherry's new-blown bloom?"
34,Fujiwara no Okikaze.,"誰をかも
知る人にせむ
高砂の
松もむかしの
友ならなくに","Tare o ka mo
Shiru hito ni sen
Takasago no
Matsu mo mukashi no
Tomo nara naku ni","Of old companions bereft
Men's friendship more I may not seek,
Nought but the ancient pine-trees left,
That grow on Takasago's peak,
Comrades of many a year now gone,
But not the friends for whom I mourn.","Who shall I make my friend?
Even the Takasago pine-tree
Could not remain
As an old friend of mine.","Gone are my old familiar friends,
The men I used to know;
Yet still on Takasago beach
The same old pine trees-grow,
That I knew long ago.","Whom then are there now,
In my age (so far advanced)
I can hold as friends?
Even Takasago's pines
Are not friends of former days."
35,Ki no Tsurayuki,"人はいさ
心も知らず
ふるさとは
花ぞむかしの
香に匂ひける","Hito wa isa
Kokoro mo shirazu
Furusato wa
Hana zo mukashi no
Ka ni nioi keru","The comrades of my early days
Their former friend indifferent view,
Who with a wondering eye doth gaze
On th' village that olf he knw
So well. O flower! thy fragrancy
Alone familiar seems to me.","I know now what one thinks
Of me. But at the home
The flowers are perfumed
In fragrance old and same.","The village of my youth is gone,
New faces meet my gaze;
But still the blossoms at thy gate,
Whose perfume scents the ways,
Recall my childhood's days.","No! no! As for man,
How his heart is none can tell,
But the plum's sweet flower
In my birthplace, as of yore,
Still emits the same perfume."
36,Kiyowara no Fukayabu,"夏の夜は
まだ宵ながら
明けぬるを
雲のいづくに
月やどるらむ","Natsu no yo wa
Mada yoi nagara
Akenuru o
Kumo no izuko ni
Tsuki yadoruran","'Twas a summer's night, I scarcely thought
The evening hours had passed away
When dawn broke; long the moon I'd sought,
Now kne where 'mid the clouds she lay.","The Summer night will break
When the evening scarcely passed,
What cloud will the moon
Take as her lodging place?","Too short the lovely summer night,
Too soon ’tis passed away;
I watched to see behind which cloud
The moon would chance to stay,
And here's the dawn of day!","In the summer night,
While the evening still seems here,
Lo! the dawn has come.
In what region of the clouds
Has the wandering moon found place?"
37,Bunya no Asayasu,"白露を
風のふきしく
秋の野は
つらぬきとめぬ
玉ぞちりける","Shiratsuyu o
Kaze no fukishiku
Aki no no wa
Tsuranuki tomenu
Tama zo chiri keru","Now dew-drops sparkling o'er the moor are seen,
The autumn gust sweeps howling by,
Scarce lurks as instant 'mid the reeds I ween:
In timid show'r the dew-drops fly,
And, scatter o'er the grass, there lie.","Over the Autumn field
Of white dews, in gust,
Lo, the stringless pearls
Are scattered away.","This lovely morn the dewdrops flash
Like diamonds on the grass—
A blaze of sparkling jewels! But
The autumn wind, alas!
Scatters them as I pass.","In the autumn fields,
When the heedless wind blows by
O'er the pure-white dew,
How the myriad unstrung gems
Everywhere are scattered round!"
38,Ukon,"忘らるる
身をば思はず
誓ひてし
人の命の
惜しくもあるかな","Wasuraruru
Mi o ba omowazu
Chikaite shi
Hito no inochi no
Oshiku mo aru kana","A solemn oath tou swor'st with me,
I dreamt thou wouldest constant be--
Forgotten, scorned the penalty
Of death I almost cry on thee.","I do not mind of myself
To be forgotten by him,
But for his own life’s sake
I have to grieve.","My broken heart I don't lament,
To destiny I bow;
But thou hast broken solemn oaths,—
I pray the Gods may now
Absolve thee from thy vow.","Though forgotten now,
For myself I do not care:
He, by oath, was pledged;--
And his life, who is forsworn,
That is, ah! so pitiful."
